,abstract_text
29953400," Basidiomycetes strains (n = 39) belonging to 9 genera in 8 families are kept in the mycotheca of the Department of Agricultural, Food and Forest Sciences at the University of Palermo (Palermo, Italy). All of the strains are medicinal mushrooms, and some are of great commercial and nutraceutical interest."
29953399," Medicinal mushrooms are used in popular medicine largely as health promoters, mainly because of their antitumor and immunomodulatory activities. Ganoderma lucidum (lingzhi or reishi) and Agaricus brasiliensis are mushrooms that have long been used for medicinal purposes. This study evaluated their immunomodulatory and antitumor effects on mice fed a diet supplemented with G. lucidum and A. brasiliensis mycelia obtained from solid-state fermentation. For 14 weeks the mice were fed chow containing 50% A. brasiliensis and G. lucidum mycelia, using ground wheat as an excipient. The consumption of the supplemented diet inhibited Sarcoma 180 tumor growth and caused important changes in the immune system. The pattern of immune response shifted, increasing CD4+ and CD8+ and decreasing CD19+ cell populations. The restoration of a proper balance between cellular and humoral immunity is an essential process for restraining tumor growth. These results suggest that polysaccharides, such as β-glucans and other mushroom metabolites, possibly promote the T-cell dominance that is imperative to restrain tumor growth."
29953398," Ergothioneine is an effective antioxidant and is abundant in species of genus Pleurotus. This research focused on developing an ergothioneine extract from P. eryngii and P. citrinopileatus under optimal extraction conditions. The hot-water and 70% ethanol extractions yielded more ergothioneine than microwave, ultrasonic, and autoclaving extractions. Hot-water extraction with optimal conditions-125 rpm at 75°C for 5 minutes-produced P. eryngii and P. citrinopileatus extracts with 0.86 and 3.73 mg ergothioneine/g dry weight, respectively. In addition to 50% of added maltodextrin, spray-dried products from mushrooms contained 23.07-16.58% carbohydrates and 18.32-21.40% protein. The microstructure of spray-dried products showed shrunken spheres with mean particle diameters of 15.82-19.94 μm. After in vitro simulated gastric and intestinal digestion, the spray-dried P. eryngii and P. citrinopileatus products contained 88% and 91% residual ergothioneine, respectively. Overall, the spray-dried products could be used as antioxidative supplements."
29953397," Mushroom cultivation has become an important component of agriculture, providing food and contributing to the global economy. It uses vertical space and addresses issues of food quality, health improvement, and environmental sustainability. Auricularia mushrooms are popular ingredients in traditional Chinese cuisine. The objective of this study was to determine yield and evaluate radical scavenging capacity of A. polytricha cultivated on rubberwood sawdust on a large scale; we measured total phenolic content; DPPH, hydroxyl, superoxide anion, and peroxyl radical scavenging; and reducing power. Cultivation on rubberwood sawdust produces an average of 4 harvests per bag and a biological efficiency of 80-82%. The antioxidant capacity investigations revealed that the ethyl acetate fraction was the most potent radical scavenger in all assays except that for superoxide anions, whereas the aqueous fraction exhibited mild to moderate antioxidant capacity in scavenging the various radicals. Artificial cultivation of A. polytricha on rubberwood sawdust yields many sporophores with potent antioxidant capacity."
29953396," Cordyceps sinensis (=Ophiocordyceps sinensis) and Ganoderma lucidum are 2 medicinal mushrooms that have been suggested to have the potential to enhance exercise capacity. We used a commercial supplement combining a traditional Chinese medicine and G. lucidum and tested its effects on human physical, aerobic, and anaerobic capacities. Physical education students (n = 96; 43 women, 53 men; mean ± standard deviation age, 26.3 ± 3.21 years) were randomly divided into 3 groups: low-dose treatment, high-dose treatment, and placebo. Participants received the supplement or the placebo for 28-33 days. Both before and after the intervention, the participants performed a graded maximum oxygen consumption (Vo2max) test on a treadmill and a Wingate anaerobic cycle test (on a different day). The following parameters were measured and recorded during the maximal graded treadmill test: heart rate, oxygen consumption, respiratory exchange ratio, and ventilation. The following parameters were calculated from the Wingate anaerobic cycle test: maximal anaerobic power, mean anaerobic power, and fatigue index. The supplements did not affect Vo2max or the physiological responses upon maximal exercise during the graded treadmill test. In a similar way, they had no effect on peak or mean power, or fatigue index, as measured by the Wingate anaerobic test. A borderline interaction indicated a somewhat lower heart rate at rest after treatment; however, post hoc analysis did not reveal any further statistically significant differences (P = 0.047; F = 3.169). The findings indicate that dual supplementation with C. sinensis and G. lucidum had no effect on Vo2max, on physiological responses at peak exercise load during a graded maximal treadmill test, or on the parameters of anaerobic capacity."
29953395," A novel protease was isolated from Coprinopsis atramentaria, which is, to our knowledge, the first macromolecule to be purified from this species. The protease, referred to as CAP, was purified through the use of ion exchange chromatography on sulphopropyl-sepharose, diethylaminoethyl-cellulose, Q-Sepharose, and gel filtration on a Superdex 75 column. CAP is a monomelic protein with a molecular mass of 32 kDa. The maximum activity of CAP was detected at pH 7.0 and 50°C. The preferred pH of CAP demonstrated that it was a neutral protease. Kinetic constants were determined under optimal reaction conditions, using 1% casein as the substrate. We found Km and Vmax values of 7.98 mg · mL-1 and 215 μg · mL-1 · min-1, respectively. Among the various metal ions tested, Pb2+, Zn2+, Mn2+, Hg2+, Cu2+, and Cd2+ exerted dose-dependent inhibitory actions, whereas Mg2+ exhibited a promoting action at all concentrations tested. Eight inner peptide sequences were detected by liquid chromatography on an LTQ-Orbitrap mass spectrometer and were identified using the Basic Local Alignment Search Tool, which contains proteases from other sources. Alignment results showed that 2 of them were homologous to fungal cysteine proteases. The other 5 peptide sequences also shared similarities with proteases of other origins. The isolation of a novel protease from C. atramentaria in this study not only expands the sources of proteases but also provides further information about this fungus."
29953394," An 8-week feeding trial was performed to assess the effects of dietary white button mushroom (Agaricus bisporus) powder (WBMP) on the mucosal immunity and growth of rainbow trout (Oncorhynchus mykiss). Trout (n = 192; weight 13.76 ± 1.17 g) were stocked in 12 cages (65 × 65 × 65 cm) placed in 4 raceways with a flow-through water system. Trout were fed a basal diet (control group) or a basal diet supplemented with 0.5%, 1%, or 2% WBMP for 8 weeks. Evaluation of total protein levels and lysozyme activity in skin mucus revealed noticeable increases in trout fed 1% or 2% WBMP (P < 0.05), but no significant difference was observed with 0.5% WBMP administration (P > 0.05). The results of sodium dodecyl sulphate-polyacrylamide gel electrophoresis revealed alterations in the protein profile of skin mucus following dietary administration of WBMP. Molecular studies showed a noticeable increase (P < 0.05) in tumor necrosis factor-α messenger RNA in the intestine of WBMP-fed trout, regardless of the inclusion level. Also, fish receiving the 1% or 2% WBMP treatments had a remarkable increase in interleukin (IL)-1β expression compared with the control group (P < 0.05). In a similar way, intestinal IL-8 expression was upregulated with the 1% and 2% WBMP treatments (P < 0.05). However, no significant difference was found between the control group and the 0.5% WBMP treatment group in the case of IL-8 gene expression (P > 0.05). Furthermore, after 8 weeks of WBMP feeding, no improvement was seen in the growth parameters of trout compared with those fish fed the nonsupplemented diet (P > 0.05). These results hint at the potential immunomodulatory effects of dietary WBMP."
29953393," Taiwanofungus camphoratus has been reported to have antitumor effects against various cancer cells. The aim of this study was to investigate the direct inhibitory effect of By-1 (3-isobutyl-l-methoxy-4-[4'-(3-methylbut-2-enyloxy)phenyl]-1H-pyrrole-2,5-dione), a compound from spent broth from submerged cultures of T. camphoratus, on human lung adenocarcinoma cells and to determine the molecular mechanism underlying this effect. The growth-inhibitory assay and colony formation assay showed that cell viability was significantly decreased. A By-1 concentration of 300 μmol/L caused 73.55% cell death and at a concentration of 240 μmol/L led to a 58% reduction in the number of colonies. The wound-healing assay showed that the distance of migration was 0.3 times shorter than that of untreated cells. Flow cytometry revealed that By-1 could suppress DNA synthesis, cause cell cycle arrest at the S phase, and induce apoptosis in a reactive oxygen species-dependent manner. Furthermore, the expression of caspase-3 and P53 was 4 times higher than that in untreated cells, and the antiapoptotic protein Bcl-2 was decreased 2 times compared with the protein in untreated cells. It is interesting to note that apoptosis and autophagy were both induced during treatment with By-1, and autophagy inhibition decreased cell proliferation. By-1 potently inhibited the growth of SPCA-1 cells by inducing cell cycle arrest and apoptosis. The combination of proapoptosis agents and antiautophagy agents could effectively enhance anticancer efficacy, which may be a new strategy in treating non-small cell lung cancer."
29953392," In this investigation we developed an optimal fermentation medium to produce an exopolysaccharide (EPS) with antioxidant activity from Rigidoporus microporus. Lactose and tryptone were chosen as the optimal carbon and nitrogen sources, respectively, for EPS production, with a 6-day cultivation cycle. After removing proteins through the use of the Sevag method, one EPS fraction was purified from the culture filtrates by gel filtration chromatography on a Sepharose CL-6B column. The preliminary chemical structure of the EPS fraction was determined by Fourier transform infrared spectroscopy, gas chromatography-mass spectrometry, and nuclear magnetic resonance. The results indicated that the main structure of the EPS consisted of β-glucopyranose and mannopyranose. Furthermore, conformational parameters such as molecular weight (Mw), intrinsic viscosity ([η]), mean-square radii of gyration (Rg), and hydrodynamic radius (Rh) of the EPS were characterized using a size exclusion chromatography-multiangle light scattering-refractive index viscometry method. It showed that the EPS was a kind of water-soluble polysaccharide with a moderate molecular weight (34.1 × 104) and a flexible, linear random coil chain structure. The antioxidant activity tests suggested that the EPS has great potential application as a natural antioxidant material in foods and medicines."
29953391," T cells produce a wide variety of effector molecules in response to infections, such as cytokines, chemokines, granzymes, and perforins. Because different stimuli promote the production of specific effector molecules, T cell responses come in different flavors. In addition, single-cell analysis of protein production revealed that T cells respond heterogeneously to activation. To unravel the regulatory mechanisms that determine T cell effector function, novel methods were developed that simultaneously measure protein levels with the corresponding mRNA. These flow cytometry-based fluorescence in situ hybridization (Flow-FISH) technologies allow for multiparameter analysis with single-cell resolution of both nucleic acids and proteins. Here, we review the currently available methods of Flow-FISH and describe the possible applications thereof, with a specific focus on T cells."
29953390," Natural killer (NK) cells are innate immune cells equipped with the ability to rapidly kill stressed cells that are neoplastic or virally infected. These cells are especially important in settings where these stressed cells downregulate MHC class I molecules and evade recognition by cytotoxic T cells. However, the activity of NK cells alone is often suboptimal to fully control tumor growth or to clear viral infections. Thus, the enhancement of NK cell function is necessary to fully harness their antitumor or antiviral potential. In this review, we discuss how NK cell function can be augmented by the modulation of signal transduction pathways, by the manipulation of inhibitory/activating receptors on NK cells, and by cytokine-induced activation. We also discuss how some of these strategies are currently impacting NK cells in the treatment of cancer and infections."
29953389," Tissue-resident memory T (TRM) cells have emerged as a major component of T cell biology. Recent investigations have greatly advanced our understanding of TRMs. Common features have been discovered to distinguish memory T cells residing in various mucosal and non-mucosal tissues from their circulating counterparts. Given that most organs and tissues contain a unique microenvironment, local signal-induced tissue-specific features are tightly associated with the differentiation, homeostasis, and protective functions of TRMs. Here, we discuss recent advances in the TRM field with a special emphasis on the interaction between local signals and TRMs in the context of individual tissue environment."
29953371," The use of radiation is an essential part of both modern cancer diagnostic assessment and treatment. Next-generation imaging devices create 3D visualizations, allowing for better diagnoses and improved planning of precision treatment. This is particularly important for primary brain cancers such as diffuse intrinsic pontine glioma or the most common primary brain tumor, glioblastoma, because radiotherapy is often the only treatment modality that offers a significant improvement in survival and quality of life. In this review, we give an overview of the different imaging techniques and the historic role of radiotherapy and its place in modern cancer therapy. Finally, we discuss three key areas of risks associated with the use of ionizing radiation: (1) brain tumor induction mainly as a consequence of the diagnostic use of radiation; (2) cognitive decline as a consequence of treating childhood brain tumors as an example of long term consequences often neglected in favor of highlighting secondary primary cancers; and (3) pro-proliferative and pro-invasive alterations that occur in tumor cells that survive radiotherapy. Throughout the discussion, we highlight areas of potential future research."
29953370," Radiation therapy has been a cornerstone of cancer management for many decades and is an integral part of the multi-modality care of patients with brain tumors. The known serious side effects of radiation therapy on the head or central nervous system are uncommon and include radiation necrosis, microangiopathy, and progressive leukencephalopathy. In addition, there have been descriptions of radiation-induced tumors including sarcomas, gliomas, lymphomas, and carcinomas of the thyroid. Patients who have received radiation therapy of the head or face may rarely develop radiation-induced tumors, a majority of which are meningiomas, followed by radiation-induced gliomas (RIGs) and sarcomas. The increased risk of RIGs is well described in both the pediatric and adult populations and after the use of both therapeutic and diagnostic radiations. The incidence of RIGs is estimated at approximately 0.5-2.7% at a latent period of approximately 15 years. The risk appears to be dependent on patient age at treatment, as well as radiation dose and treatment volume considerations. The scope of this review focuses on the etiology, clinical features, and management of RIGs as they relate to previous radiation therapy."
29953369," Although modern radiation therapy delivers a localized distribution of ionizing energy that can be used to cure primary cancers for many patients, the inevitable radiation exposure to non-targeted normal tissue leads to a risk of a radiation-related new cancer. Modern therapies often produce a complex spectrum of secondary particles, both charged and uncharged, that must be considered both in their physical radiation transport throughout the patient and their potential to induce biological damage, which depends on the microscopic energy deposition from the cascade of primary, secondary, and downstream particles. This work summarizes the experimental data for relative biological effectiveness for particles associated with modern radiotherapy in light of their capacity to induce secondary malignancies in patients. A distinction is highlighted between the radiobiological experimental data and the coarser metrics used frequently in radiation protection. For critical assessment of the risks of secondary malignancies for patients undergoing radiation therapy, a detailed description of primary and secondary radiation fields is needed, though not routinely considered for individual patient treatments. Furthermore, not only the particle type, but also the microscopic dose and track structure, must be considered, which points to a demand for detailed physics models and high-performance computing strategies to model the risks."
29953368," Radiation therapy remains one of the most effective cancer treatments. Nevertheless, biology-driven personalized radiation therapy that enables treatment according to the biological characteristics of the individual tumors and normal tissues still needs to be implemented in the clinic. Understanding the mechanisms of radiation response in both tumors and normal tissues is necessary to develop reliable predictive biomarkers for tumor radioresistance and normal tissue toxicity as well as to exploit new therapeutic opportunities for tumor radiosensitization. In this article, we review the mechanisms of tumor radiosensitivity as well as the early and late responses of normal tissues to therapeutic radiation exposure. We also discuss the possible implementation of these mechanisms for biology-driven personalized radiation treatment."
29953367," Radiation therapy (RT) is commonly used for the treatment of localized prostate cancer (PCa). However, cancer cells often develop resistance to radiation through unknown mechanisms and pose an intractable challenge. Radiation resistance is highly unpredictable, rendering the treatment less effective in many patients and frequently causing metastasis and cancer recurrence. Understanding the molecular events that cause radioresistance in PCa will enable us to develop adjuvant treatments for enhancing the efficacy of RT. Radioresistant PCa depends on the elevated DNA repair system and the intracellular levels of reactive oxygen species (ROS) to proliferate, self-renew, and scavenge anti-cancer regimens, whereas the elevated heat shock protein 90 (HSP90) and the epithelial-mesenchymal transition (EMT) enable radioresistant PCa cells to metastasize after exposure to radiation. The up-regulation of the DNA repairing system, ROS, HSP90, and EMT effectors has been studied extensively, but not targeted by adjuvant therapy of radioresistant PCa. Here, we emphasize the effects of ionizing radiation and the mechanisms driving the emergence of radioresistant PCa. We also address the markers of radioresistance, the gene signatures for the predictive response to radiotherapy, and novel therapeutic platforms for targeting radioresistant PCa. This review provides significant insights into enhancing the current knowledge and the understanding toward optimization of these markers for the treatment of radioresistant PCa."
29953366," Currently, more than half of newly diagnosed cancer patients receive radiation treatment. However, the radioresistance of tumor cells as well as the early and late side effects limit the beneficial outcome of radiotherapy. Accordingly, the innovative approaches to maximize tumor killing and/or minimize radiation toxicity remain a major focus of interest. In the past decade, several pieces of evidence have shown the importance of different modes of regulated cell death (RCD) in the radioresponse of malignant and normal tissues. Furthermore, the biological modulation of radiation-induced RCDs has come to attention as a novel therapeutic means. Here, we review the major signaling pathways that orchestrate all types of RCD initiated by exposure to ionizing radiation. The latest advances in the development of small-molecule RCD modulators (both natural and synthetic) that are intended for widening the therapeutic window of radiotherapy are also discussed."
29953365," Ionizing radiation is a valuable tool in many spheres of human life. At the same time, it is a genotoxic agent with a well-established carcinogenic potential. Progress achieved in the last two decades has demonstrated convincingly that ionizing radiation can also target the cellular epigenome. Epigenetics is defined as heritable changes in the expression of genes that are not due to alterations of DNA sequence but consist of specific covalent modifications of chromatin components, such as methylation of DNA, histone modifications, and control performed by non-coding RNAs. Accumulating evidence suggests that DNA methylation, a key epigenetic mechanism involved in the control of expression of genetic information, may serve as one of the driving mechanisms of radiation-induced carcinogenesis. Here, we review the literature on the effects of ionizing radiation on DNA methylation in various biological systems, discuss the role of DNA methylation in radiation carcinogenesis, and provide our opinion on the potential utilization of this knowledge in radiation oncology."
29953364," Solid-state fermentation (SSF) with the medicinal higher Basidiomycete Ganoderma lucidum was studied as a strategy to use pine (Pinus radiata D. Don) and poplar (Populus nigra L.) wood chips and sawdust. Fruiting bodies were produced and the value of the biotransformed substrate was assessed. The highest mushroom yield (63 g dry weight per kilogram of dry substrate) was obtained with poplar sawdust and wood chips. Immersion of the bioreactors was a simple watering method that obtained suitable yields. Two morphological types were induced using 2 different incandescent light intensities. High light irradiation induced the highest valued mushroom morphology (as a whole product). Time course study of substrate biodegradation and mycelial growth dynamics indicated that the trophophase lasted 20 days and presented laccase activity of 0.01-0.03 units · g-1. The activity at idiophase was 10 times higher. Aqueous and alkali extracts, as well as carbohydrase enzyme profile activity, revealed differences in the properties of the residual substrate; some related to the substrate source are considered to be of concern for further use of this pretreated biomass. In view of the results obtained, we propose use of SSF of pine and poplar with G. lucidum to profitably recycle softwood by-products from the timber industry."
29953363," Hericium erinaceus is an edible and medicinal mushroom with potential neuroprotective effects. The study of H. erinaceus has attracted considerable attention during the past 10 years, particularly with regard to its potential utility in the treatment of motor dysfunction, Alzheimer disease, and other forms of dementia. We previously determined that oral supplementation with H. erinaceus results in significant improvements in novelty-seeking behavior and novel object recognition in mice. In this study, H. erinaceus was added to the diets of wild-type mice for 2 months, and effects on spatial memory were evaluated by means of a Y maze and an object location task. We found that H. erinaceus increased general locomotor activity but had no effect on spatial memory. Thus, oral supplementation with H. erinaceus yields specific and selective improvements in recognition memory without altering spatial working memory, which supports the hypothesis that recognition memory can be modeled as a dual process. In this model, the perirhinal cortex supports the recognition of individual items as part of a circuit involved in familiarity with an encountered stimulus, whereas the hippocampus supports recollected associations and relationships between stimuli."
29953362," Eleven strains of an entomopathogenic fungus, isolated and identified as Ophiocordyceps sobolifera, were screened for activity against 5 strains of Gram-negative and 5 strains of Gram-positive bacteria. Four of the isolates, Cod-KK1634, Cod-KK1643, Cod-KS1601, and Cod-SN1626, had activity against the test strains of Grampositive bacteria. Of these 4 extracts, the Cod-KK1643 extract had the lowest minimum inhibitory and bactericidal concentrations. The Cod-KK1643 extract exhibited both concentration- and time-dependent bactericidal activity. Moreover, the Cod-KK1643 extract induced morphological alterations in bacterial cells, including decreased cell size, a crushed appearance, and cell lysis. It is surprising to note that the extracts also inhibited MCF-7 cell proliferation, with a half-maximal inhibitory concentration of 47.09 ± 33.64 mg/mL after 72 hours. The extracts also inhibited MCF-7 cell migration, with the lowest percentage of relative closure achieved with Cod-KK1643. These findings represent what is to our knowledge the first information on the activities of O. sobolifera mycelial extracts against bacteria and the human breast cancer MCF-7 cell line."
29953361," A cultivar of fruiting bodies of Ophiocordyceps sinensis (FBOS; OCS02) was analyzed for nutrients, bioactive compounds, and heavy metal content to showcase its potential as a competitive, sustainable, and safe alternative to wild types and other cultivars. A previous 28-day subacute toxicity study showed that doses up to 1 g · kg-1 did not cause any adverse effects in Sprague-Dawley rats. The OCS02 cultivar contained large amounts of cordycepin, polysaccharides, and essential and semi-essential amino acids (0.66, 482.80, 99.02, and 101.04 g · kg-1, respectively) compared with levels reported in wild types and in cultivated mycelia. β-1,3/1,6-glucan content was considerably high at 342.50 g · kg-1. The potassium level (5.14 g kg-1) tied in well with the low sodium content (0.121 g · kg-1)-6 times lower than amounts in wild types. We found no detectable levels of heavy metals such as lead, arsenic, cadmium, and mercury. The major amino acids found in FBOS (0CS02 cultivar) were arginine, lysine, serine, and threonine at 45.20, 20.30, 18.60, and 18.20 g · kg-1, respectively. The cultivated FBOS (OCS02 cultivar) is a comparable alternative to wild-type and other cultivated strains of O. sinensis. It has potential as a nutraceutical to meet market demand."
29953360," Increasing yield is a principal goal when breeding Lentinus edodes. The detection of quantitative trait loci (QTLs) underlying yield and its related traits, precocity and the number of fruiting bodies (NFs), is important in order to breed high-yield cultivars. Using composite interval mapping (CIM), we mapped a total of 25 QTLs responsible for precocity, NFs, and yield in 2 segregating populations of L. edodes. QTLs for the 3 traits were mapped on 5 different linkage groups, contributing 5.9% to 15.4% of the phenotypic variation. Colocated QTLs were also found underlying multiple traits, implying the presence of a genic pleiotropic effect or tightly linked genes. This is, to our knowledge, the first report of the genetic dissection of precocity, NFs, and yield using QTL mapping in L. edodes. Findings of this study will facilitate marker-assisted breeding of high-yield cultivars of L. edodes."
29953359," The gucchi mushroom, Morchella esculenta, commonly known as the morel, is called thunthoo in the Bhaderwahi dialect spoken in District Doda of Jammu and Kashmir, India, and is an expensive food item that grows wild and is collected manually. Its nutritive and medicinal values are acknowledged. The farming community in the district traditionally collects the mushroom from forested areas through a well-managed community approach. Elders of families and communities have taught farmers how to identify the mushroom, recognize distribution patterns, and collect it. The knowledge and ability to differentiate M. esculenta from other poisonous wild mushrooms has also been inherited from the elders and community members. Women and children collect it from the outskirts of the forested areas and villages; men penetrate deeper into the dense forests in groups. It is either sold fresh to local shopkeepers or dried at home; the majority of gucchi collectors do the latter. Traditionally, the mushrooms are most commonly dried in the sun or the kitchen. The mushroom fetches a remunerative price and supplements the household incomes of the rural folk who collect it. Marketing gucchi has not been reported as a constraint. It has traditionally been used to overcome gastric problems and indigestion, as a tonic, to help heal wounds, and to reduce joint pain. Its medicinal uses are, however, restricted to only the hills and far-flung areas."
29953358," Ganoderma lucidum is known to exert many health benefits including effects to improve oxygen utilization. Therefore, this study was designed to evaluate the role of a hydroalcoholic G. lucidum extract in providing tolerance to HT22 cells grown under hypoxic conditions. HT22 cells were exposed to 0.5% O2 in the presence or absence of the extract for 24 hours. At the end of the exposure period, we performed cell viability assays, cell cycle analysis, and biochemical and protein expression studies. The extract-treated cells revealed less cell death, minimized caspase 3 and reactive oxygen species levels, and relieved G0/G1 cell cycle arrest compared with hypoxic cells cultured without the extract. Further, extract-treated cells showed improved expression of Nrf2, heme oxygenase 1, and metallothionein and stabilized levels of hypoxia-inducible factor 1α. Moreover, lower levels of nuclear factor-κB and tumor necrosis factor a were evident in extract-treated cells. Overall, the G. lucidum extract reduced hypoxia-induced cell death and augmented transcription factors (HIF-1α and Nrf2), conferring tolerance to hypoxia."
29953357," Chronic kidney disease is a health burden worldwide but particularly in sub-Saharan Africa, with dwindling resources as a result of poor commodity export, devaluation of currencies, and corruption that had decreased the average family income and substantially increased the number of persons living on less than $1.90/day. Natural products are part of the healthcare delivery system in that part of the world. This study was conducted to evaluate the protective effects of Pleurotus tuber-regium on the kidneys of rats treated with carbon tetrachloride (CCl4) for 13 weeks. Sixty rats were divided into 6 groups, with 10 animals in each group. Group I (control) received olive oil (3 mL/kg) intraperitoneally twice weekly and were given feed and water ad libitum. Group II received CCl4 (3 mL/kg, 30% in olive oil) twice weekly. Groups III, IV, and V received 100, 200, and 500 mg/kg wild edible P. tuber-regium (33.3% in feed) daily, respectively, in addition to 3 mL/kg CCl4 twice weekly. Group VI received 500 mg/kg P. tuber-regium (33.3% in feed) daily. At the end of 13 weeks, the animals were sacrificed and kidney weights recorded. Serum concentrations of creatinine, urea, and fasting blood glucose were assayed. Malondialdehyde, ascorbic acid, α-tocopherol, superoxide dismutase, catalase, total glutathione, and peroxidase were measured in kidney homogenate. The kidneys were also histologically examined. Administration of CCl4 to rats significantly (P < 0.05) increased the absolute and relative kidney weights from 0.93 ± 0.04 and 0.38 ± 0.02 g in the control group to 1.30 ± 0.04 and 0.58 ± 0.02 g in the treated groups (Groups III, IV, and V), respectively. CCl4 administration increased the concentrations of creatinine, urea, fasting blood glucose, and malondialdehyde from 0.53 ± 0.05 mg/dL, 17.0 ± 1.10 mg/dL, 72 ± 2.80 mg/dL, and 1.40 ± 0.32 μmol/L in the control group to 0.84 ± 0.03 mg/dL, 43.0 ± 6.90 mg/dL, 77 ± 2.2 mg/dL, and 14.0 ± 3.5 μmol/L in the treated groups, respectively. The concentrations of ascorbic acid, α-tocopherol, superoxide dismutase, catalase, total glutathione, and peroxidase decreased significantly (P < 0.05) from 0.41 ± 0.02 mg/dL, 5.15 ± 0.21 μg/mL, 8.49 ± 0.38 units/mL, 75.20 ± 4.57 mU/mL, 1.62 ± 0.03 μg/mL, and 9.74 ± 0.40 mU/mL in the control group to 0.24 ± 0.03 mg/dL, 1.80 ± 0.11 μg/mL, 2.78 ± 0.30 units/mL, 31.9 ± 5.87 mU/mL, 0.36 ± 0.04 μg/mL, and 3.84 ± 0.22 mU/mL in the treated groups, respectively. Photomicrographs showed that P. tuber-regium prevented the fibrosis and tubular and Bowman capsule distortions observed in the CCl4-only group. P. tuber-regium is effective in protecting the kidneys against CCl4-induced damage."
29953356," Mycochemical examination of a methanol extract of Scleroderma bovista Fr. (Agaricomycetes) led to the isolation of 7 compounds, which were, to our knowledge, identified for the first time in this species. The chemical structures of these compounds were determined through extensive spectroscopic methods (nuclear magnetic resonance and mass spectrometry). The fungal metabolites were identified as steroids based on ergostane (compounds 1-4) and lanostane (compounds 6 and 7) skeletons, whereas compound 5 was a ceramide derivative. We evaluated the antiproliferative activity of compounds 4-7 against human cancer cell lines (HeLa, A2780, MDA-MB-231, and MCF-7) using the MTT assay. The lanostane-type derivatives (compounds 6 and 7) and ergosterol peroxide 3-glucoside (compound 4) exerted significant antiproliferative property on 1 or more human cancer cell lines."
29953355," This research studies the influence of substrate on the antioxidant activity of alcohol extracts of Paecilomyces hepiali. We used corn, rice, millet, and peas as substrates. Antioxidant activity was measured with the DPPH radical scavenging method. Concentrations of extracts (6.25, 3.12, 1.56, 0.78, and 0.39 mg/mL) were applied in all evaluations. Overall antioxidant activity was expressed as the concentration of substrate that decreased DPPH radical levels by 50% (IC50DPPH) for 7 methanol and 7 ethanol extracts. A comparison of IC50DPPH allowed us to conclude that the methanol extracts are more active in scavenging stable DPPH radicals than are the ethanol extracts. The substrate with antioxidant properties most suitable for cultivation of P. hepiali was rice supplemented with non-defatted soy flour. The extract most effective in scavenging stable radicals was the methanol extract of sample 4 (IC50DPPH = 2.33 mg/mL) cultivated on rice with nondefatted soy flour. The methanol extract of sample 7 cultivated on peas was less effective (IC50DPPH = 11.50 mg/mL). By crystallizing these extracts, we managed to obtain sufficient quantities of 6 samples in a solid state, for which infrared spectra were measured and confirmed the presence of amino acids in the extracts."
29953354," We recently proposed, and successfully applied, a novel and efficient technique-ultrasonic-circulating extraction (UCE) integrating superfine pulverization-to extract and prepare antioxidant crude polysaccharides other natural active substances from Ganoderma lucidum. The aim of this study was to evaluate the antioxidant and hepatoprotective activities and active ingredients in the powder from UCE (UCEP) through comparison with powder from hot water extraction (HWEP). The DPPH radical, ABTS radical, superoxide anion, total antioxidant activity, and ferric-reducing antioxidant power assay results showed that the UCEP exhibited stronger (P < 0.01) in vitro antioxidant activity than the HWEP. The hepatoprotective activity of the extracts was evaluated against CCl4-induced oxidative damage in the liver. Measurements of reduced glutathione, superoxide dismutase, and malondialdehyde in rat liver; measurements of alanine transaminase, aspartate transaminase, and lactate dehydrogenase in rat blood; and Western blotting for antioxidant proteins of transforming growth factor-β1, heme-oxygenase 1, and glutathione per-oxidase showed that the UCEP had antioxidant activity in vivo either similar to or slightly stronger than (P < 0.1) the HWEP. Further analysis of the active ingredients revealed that the UCEP and HWEP have similar mean yield and total triterpenoid content, but the former has significantly higher (P < 0.05) mean yield and total polysaccharide content than the latter. Our results suggest that the UCEP displays stronger antioxidant activities because of the larger amount of total polysaccharides; the UCEP may be able to be used as an antioxidant and liver protectant."
29953353," Wild edible mushrooms are one of the most fascinating nutraceuticals because of their pleasant texture, peculiar aroma, and tremendous therapeutic potential; they have been used since ancient times. In this study we evaluated the antioxidant potential of 4 wild edible mushrooms-Cantharellus tropicalis, C. cibarius, Lentinus edodes, and Russula delica-collected from Mizoram, India. We performed in vitro and in vivo studies using a Saccharomyces cerevisiae stress response mechanism as the model system. Among the 4 mushrooms, C. cibarius exhibited the most significant antioxidant activity both in vitro and in vivo, followed by L. edodes, R. delica, and C. tropicalis. Gas chromatography-mass spectrometry analysis of methanolic extracts of the mushrooms revealed the presence of substantial amounts of fatty acids, fatty acid esters, and other bioactive constituents. The in vitro antioxidant activity was corroborated by in vivo studies using an S. cerevisiae oxidative stress response mechanism. In spot assays, the C. cibarius methanolic extract showed the highest scavenging potential in wild and mutant (sodlΔ and tsalΔ) strains of S. cerevisiae. These results were confirmed further by determining the level of reactive oxygen species through the use of fluorescent microscopy and intensity studies. The results suggested the efficacy of wild edible mushrooms as prominent therapeutic agents and that they have tremendous nutraceutical properties."
