,pathogen,disease,symptoms
762,Desulfomicrobium orale D.,Periodontitis,
763,Desulfovibrio desulfuricans D.,"Bacteraemia, liver abscess",
764,Desulfovibrio fairfieldensis D.,Cultured from urine of patient with UTI and meningoencephalitis,
765,Desulfovibrio piger D.,"Pilonidal cyst abscess, peritonitis",
766,Desulfovibrio vulgaris D.,"Bacteraemia, liver abscess",
767,Dhori virus DV,,
768,Dialister invisus D.,"Periodontitis, endodontic infection, bacteraemia",
769,Dialister micraerophilus D.,"Periodontitis, endodontic infection, bacteraemia",
770,Dialister pneumosintes D.,"Periodontitis, endodontic infection, bacteraemia",
771,Dialister propionicifaciens D.,"Periodontitis, endodontic infection, bacteraemia",
772,Dialonectria episphaeria D.,,
773,Dichelobacter nodosus D.,"Pilonidal cyst, rectal fistula, wound infection",
774,Dichotomophthora portulacae D.,,
775,Dichotomopilus funicola D.,,
776,Didymella glomerata D.,,
777,Dietzia maris D.,"Prosthetic hip infection, bacteraemia",
778,Diutina catenulata D.,,
779,Diutina pseudorugosa D.,,
780,Diutina rugosa D.,,
781,Dobrava-Belgrade orthohantavirus DBOV,,
782,Dobrava-Belgrade virus DBV,hemorrhagic fever with renal syndrome;Balkan hemorrhagic fever,
783,Dolosicoccus paucivorans D.,Bacteraemia,
784,Dolosigranulum pigrum D.,"Spinal cord infection, eye infection",
785,Donggang virus DV,,
786,Drechslera biseptata D.,,
787,Dugbe orthonairovirus DOV,,
788,Duvenhage lyssavirus DLV,,
789,Dysgonomonas capnocytophagoides D.,"Diarrhoea, bacteraemia, abscess",
790,Dysgonomonas gadei D.,"Diarrhoea, bacteraemia, abscess",
791,Dysgonomonas mossii D.,"Diarrhoea, bacteraemia, abscess",
792,Eastern equine encephalitis virus EEEV,Eastern equine encephalitis,
793,Ebola-like viruses EBOV,Ebola virus disease,
794,Edge Hill virus EHV,,
795,Edwardsiella hoshinae E.,"Wound infection, abscesses, gastroenteritis",
796,Edwardsiella ictaluri E.,"Wound infection, abscesses, gastroenteritis",
797,Edwardsiella tarda E.,"Wound infection, abscesses, gastroenteritis",
798,Eggerthella lenta E.,"Rectal abscess, bacteraemia",
799,Eggerthella sinensis E.,"Rectal abscess, bacteraemia",
800,Eggerthia catenaformis E.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
801,Ehrlichia chaffeensis E.,human monocytic ehrlichiosis;ehrlichiosis;Ehrlichiosis,
802,Ehrlichia ewingii E.,Ehrlichiosis,
803,Eikenella corrodens E.,"Septicaemia, endocarditis, abscesses, septic arthritis",
804,Elizabethkingia meningoseptica E.,"Meningitis, bacteraemia, endocarditis, necrotizing fasciitis, pneumonia",
805,Emergomyces pasteurianus E.,,
806,Emmonsia crescens E.,adiaspiromycosis,
807,Emmonsia parva E.,,
808,Empedobacter brevis E.,"Endophthalmitis, bacteraemia, UTI",
809,Empedobacter falsenii E.,"Bacteraemia, wound infection",
810,Encephalitozoon cuniculi E.,encephalitozoonosis,
811,Encephalitozoon hellem E.,encephalitozoonosis,
812,Encephalitozoon intestinalis E.,encephalitozoonosis,
813,Enterobacter asburiae E.,"Bacteraemia, respiratory tract infections, UTI",
814,Enterobacter cancerogenus E.,"Bacteraemia, respiratory tract infections, UTI",
815,Enterobacter cloacae E.,"Bacteraemia, respiratory tract infections, UTI",
816,Enterobacter hormaechei E.,"Bacteraemia, respiratory tract infections, UTI",
817,Enterobacter kobei E.,"Bacteraemia, respiratory tract infections, UTI",
818,Enterobacter ludwigii E.,"Bacteraemia, respiratory tract infections, UTI",
819,Enterococcus avium E.,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
820,Enterococcus casseliflavus E.,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
821,Enterococcus cecorum E.,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
822,Enterococcus dispar E.,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
823,Enterococcus durans E.,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
824,Enterococcus faecalis E.,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
825,Enterococcus faecium E.,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
826,Enterococcus gallinarum E.,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
827,Enterococcus gilvus E.,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
828,Enterococcus hirae E.,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
829,Enterococcus malodoratus E.,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
830,Enterococcus mundtii E.,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
831,Enterococcus pallens E.,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
832,Enterococcus pseudoavium E.,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
833,Enterococcus raffinosus E.,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
834,Enterovirus A EAV,,
835,Enterovirus A71 EV,hand foot and mouth disease;herpangina,
836,Enterovirus B EBV,epidemic pleurodynia,
837,Enterovirus C ECV,,
838,Enterovirus D EDV,,
839,Epicoccum sorghinum E.,,
840,Epidermophyton E.,tinea pedis,
841,Epidermophyton floccosum E.,,
842,Erwinia persicina E.,UTI,
843,Erysipelatoclostridium ramosum E.,"Wound infection, bacteraemia, abscesses",
844,Erysipelothrix rhusiopathiae E.,erysipeloid;Erysipeloid; septicaemia; endocarditis,
845,Escherichia albertii E.,Diarrhoea,
846,Escherichia coli E.,Traveler's diarrhea;UTI; bacteraemia; wound infection; meningitis; enteric infection; haemolytic fluoroquinolones; uraemic syndrome,"acute renal failure,  microangiopathic hemolytic anemia,  thrombocytopenia, acute renal failure,"
847,Escherichia coli  E.,Diarrhea;UTI; bacteraemia; wound infection; meningitis; enteric infection; haemolytic fluoroquinolones; uraemic syndrome,
848,Escherichia coli 042 E.,Diarrhea,
849,Escherichia coli 101-1 E.,Gastrointestinal infections,
850,Escherichia coli 53638 E.,Dysentery,
851,Escherichia coli B171 E.,Diarrhea,
852,Escherichia coli B7A E.,Diarrhea,
853,Escherichia coli CFT073 E.,Urinary tract infection,
854,Escherichia coli E110019 E.,Diarrhea,
855,Escherichia coli E22 E.,Gastrointestinal infections,
856,Escherichia coli E2348/69 E.,Diarrhea,
857,Escherichia coli E24377A E.,Gastrointestinal infections,
858,Escherichia coli EAEC 042 E.,Diarrhea,
859,Escherichia coli ETEC H10407 E.,Diarrhea,
860,Escherichia coli F11 E.,Cystitis,
861,Escherichia coli O103:H2 E.,unknown,
862,Escherichia coli O103:HNM E.,unknown,
863,Escherichia coli O111:H- E.,Hemolytic-uremic syndrome,
864,Escherichia coli O111:H2 E.,Hemolytic-uremic syndrome,
865,Escherichia coli O111:NM E.,Gastrointestinal infections,"abdominal cramp,  diarrhea,  vomiting, abdominal cramp,"
866,Escherichia coli O119:H6 E.,Diarrhea,
867,Escherichia coli O124:H40 E.,Diarrhea,
868,Escherichia coli O127:H6 E.,Diarrhea,
869,Escherichia coli O128:H2 E.,Gastroenteritis,
870,Escherichia coli O153:H21 E.,unknown,
871,Escherichia coli O157:H- E.,Hemolytic-uremic syndrome,
872,Escherichia coli O157:H45 E.,Diarrhea,
873,Escherichia coli O157:H7 E.,Hemolytic-uremic syndrome,"abdominal cramp,  acute renal failure,  hemorrhagic diarrhea,  hemolytic anemia,  thrombocytopenia,  fever,  vomiting, abdominal cramp,"
874,Escherichia coli O157:H7  E.,Gastrointestinal infections,
875,Escherichia coli O157:H7 EDL933 E.,Gastrointestinal infections,"abdominal cramp,  hemorrhagic diarrhea,  fever,"
876,Escherichia coli O15:NM E.,Diarrhea,
877,Escherichia coli O26:H- E.,Diarrhea,
878,Escherichia coli O26:H11 E.,Gastrointestinal infections,
879,Escherichia coli O55:H51 E.,Diarrhea,
880,Escherichia coli O55:H6 E.,Diarrhea,
881,Escherichia coli O55:H7 E.,Diarrhea,
882,Escherichia coli O6 E.,Diarrhea,
883,Escherichia coli O63:H6 E.,Diarrhea,
884,Escherichia coli OUT:H45 E.,unknown,
885,Escherichia coli UTI89 E.,Cystitis,
886,Escherichia fergusonii E.,"Bacteraemia, wounds, UTI",
887,Escherichia vulneris E.,Wounds,
888,Eubacterium brachy E.,"Wounds, abscesses, septicaemia, periodontitis",
889,Eubacterium combesii E.,"Wounds, abscesses, septicaemia, periodontitis",
890,Eubacterium infirmum E.,"Wounds, abscesses, septicaemia, periodontitis",
891,Eubacterium limosum E.,"Wounds, abscesses, septicaemia, periodontitis",
892,Eubacterium minutum E.,"Wounds, abscesses, septicaemia, periodontitis",
893,Eubacterium multiforme E.,"Wounds, abscesses, septicaemia, periodontitis",
894,Eubacterium nitritogenes E.,"Wounds, abscesses, septicaemia, periodontitis",
895,Eubacterium nodatum E.,"Wounds, abscesses, septicaemia, periodontitis",
896,Eubacterium rectale E.,"Wounds, abscesses, septicaemia, periodontitis",
897,Eubacterium saphenum E.,"Wounds, abscesses, septicaemia, periodontitis",
898,Eubacterium sulci E.,"Wounds, abscesses, septicaemia, periodontitis",
899,Eubacterium tenue E.,"Wounds, abscesses, septicaemia, periodontitis",
900,Eubacterium tortuosum E.,"Wounds, abscesses, septicaemia, periodontitis",
901,Eubacterium ventriosum E.,"Wounds, abscesses, septicaemia, periodontitis",
902,Eubacterium yurii subsp. margaretiae E.,"Wounds, abscesses, septicaemia, periodontitis",
903,Eubacterium yurii subsp. schtitka E.,"Wounds, abscesses, septicaemia, periodontitis",
904,Eubacterium yurii subsp. yurii E.,"Wounds, abscesses, septicaemia, periodontitis",
905,Ewingella americana E.,"Septicaemia, wounds, UTI",
906,Exiguobacterium acetylicum E.,"Wound infection, bacteraemia",
907,Exiguobacterium aurantiacum E.,"Wound infection, bacteraemia",
908,Exophiala asiatica E.,,
909,Exophiala attenuata E.,,
910,Exophiala bergeri E.,,
911,Exophiala castellanii E.,,
912,Exophiala dermatitidis E.,phaeohyphomycosis,
913,Exophiala jeanselmei E.,,
914,Exophiala lecanii-corni E.,,
915,Exophiala moniliae E.,,
916,Exophiala oligosperma E.,,
917,Exophiala phaeomuriformis E.,,
918,Exophiala pisciphila E.,,
919,Exophiala salmonis E.,,
920,Exophiala spinifera E.,,
921,Exophiala xenobiotica E.,,
922,Exserohilum E.,phaeohyphomycosis,
923,Exserohilum longirostratum E.,,
924,Exserohilum mcginnisii E.,,
925,Eyach virus EV,,
926,Facklamia hominis F.,"UTI, bacteraemia, abscess",
927,Facklamia ignava F.,"UTI, bacteraemia, abscess",
928,Facklamia languida F.,"UTI, bacteraemia, abscess",
929,Facklamia sourekii F.,"UTI, bacteraemia, abscess",
930,Faecalicatena contorta F.,"Wounds, abscesses, septicaemia, periodontitis",
931,Faecalicatena orotica F.,"Wound infection, bacteraemia, abscesses",
932,Faecalitalea cylindroides F.,"Wounds, abscesses, septicaemia, periodontitis",
933,Falciformispora senegalensis F.,,
934,Falciformispora tompkinsii F.,,
935,Farfantepenaeus aztecus F.,brown shrimp allergy,
936,Fenneropenaeus indicus F.,Indian prawn allergy,
937,Filifactor alocis F.,"Gingivitis, periodontitis",
938,Filifactor villosus F.,"Gingivitis, periodontitis",
939,Filobasidium magnum F.,,
940,Filobasidium uniguttulatum F.,,
941,Finegoldia magna F.,,
942,Flavonifractor plautii F.,"Wounds, abscesses, septicaemia, periodontitis",
943,Flexal mammarenavirus FMV,,
944,Flexispira rappini F.,"Bacteraemia, diarrhoea",
945,Fluoribacter bozemanae F.,"Legionnaires’ disease, Pontiac fever",
946,Fluoribacter dumoffii F.,"Legionnaires’ disease, Pontiac fever",
947,Fluoribacter gormanii F.,"Legionnaires’ disease, Pontiac fever",
948,Fonsecaea monophora F.,,
949,Fonsecaea multimorphosa F.,,
950,Fonsecaea nubica F.,,
951,Fonsecaea pedrosoi F.,,
952,Francisella novicida F.,,
953,Francisella novicida FTE F.,Tularemia,
954,Francisella novicida GA99-3548 F.,Tularemia,
955,Francisella novicida GA99-3549 F.,Tularemia,
956,Francisella philomiragia F.,"Septicaemia, invasive systemic infection",
957,Francisella tularensis F.,Tularemia;tularemia;Tularaemia,"anorexia,  chills,  diarrhea,  dry cough,  headache,  inflamed eyes,  joint pain,  lymph gland swelling,  malaise,  mouth sore,  muscles ache,  painful lymph glands,  pharyngitis,  pneumonia,  progressive weakness,  skin ulcer,  sudden onset of fever,  throat pain,  toxemia,  weight loss,  painful reginal lymphadenopathy,  lesions in mouth,  chest pain,  dyspnea, anorexia,"
958,Francisella tularensis subsp. Tularensis F.,Tularemia,
959,Francisella tularensis subsp. holarctica F.,,"enlargement of lymph nodes,  fever,  headache, enlargement of lymph nodes,"
960,Francisella tularensis subsp. holarctica  F.,Tularemia,
961,Francisella tularensis subsp. holarctica   F.,Oropharyngeal tularemia,
962,Francisella tularensis subsp. mediasiatica F.,Tularemia,
963,Francisella tularensis subsp. mediasiatica   F.,Tularemia,
964,Francisella tularensis subsp. tularensis F.,,"bronchiolitis,  chest pain,  dyspnea,  hilar lymphadenitis,  pharyngitis,  phlegm,  pneumonitis, bronchiolitis,"
965,Fugong orthohantavirus FOV,,
966,Fungi F.,primary systemic mycosis;disease by infectious agent;endothrix infectious disease;tinea corporis;cutaneous mycosis;subcutaneous mycosis;superficial mycosis;fungal infectious disease;opportunistic mycosis;tinea cruris;tinea unguium;dermatomycosis;tinea manuum,
967,Fusarium chlamydosporum F.,,
968,Fusarium dimerum F.,,
969,Fusarium falciforme F.,,
970,Fusarium fujikuroi F.,,
971,Fusarium incarnatum F.,,
972,Fusarium lichenicola F.,,
973,Fusarium napiforme F.,,
974,Fusarium neocosmosporiellum F.,,
975,Fusarium nygamai F.,,
976,Fusarium oxysporum F.,,
977,Fusarium subglutinans F.,,
978,Fusarium verticillioides F.,,
979,Fusobacterium gonidiaformans F.,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
980,Fusobacterium mortiferum F.,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
981,Fusobacterium naviforme F.,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
982,Fusobacterium necrogenes F.,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
983,Fusobacterium necrophorum subsp. funduliforme F.,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
984,Fusobacterium necrophorum subsp. necrophorum F.,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
985,Fusobacterium nucleatum subsp. fusiforme F.,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
986,Fusobacterium nucleatum subsp. nucleatum F.,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
987,Fusobacterium nucleatum subsp. polymorphum F.,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
988,Fusobacterium nucleatum subsp. vincentii F.,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
989,Fusobacterium periodonticum F.,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
990,Fusobacterium russii F.,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
991,Fusobacterium ulcerans F.,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
992,Fusobacterium varium F.,"Abscesses, bacteraemia, periodontitis, endocarditis, necrobacillosis",
993,Gadgets Gully virus GGV,,
994,Gadus morhua G.,Atlantic cod allergy,
995,Gairo mammarenavirus GMV,,
996,Gardnerella vaginalis G.,Intrauterine and neonatal sepsis,
997,Gemella bergeri G.,"Bacteraemia, endocarditis",
998,Gemella haemolysans G.,"Bacteraemia, endocarditis",
999,Gemella morbillorum G.,"Bacteraemia, endocarditis",
1000,Gemella sanguinis G.,"Bacteraemia, endocarditis",
1001,Gemycircularvirus HV-GcV1 GHV,,
1002,Geotrichum candidum G.,,
1003,Geotrichum candidum [NCBITaxon:27317] G.,geotrichosis,
1004,Gjaerumia minor G.,,
1005,Gliomastix roseogrisea G.,,
1006,Globicatella sanguinis G.,"Bacteraemia, UTI, meningitis",
1007,Glutamicibacter creatinolyticus G.,"UTI, bacteraemia, skin infection",
1008,Gordonia aichiensis G.,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
1009,Gordonia araii G.,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
1010,Gordonia bronchialis G.,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
1011,Gordonia effusa G.,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
1012,Gordonia otitidis G.,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
1013,Gordonia polyisoprenivorans G.,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
1014,Gordonia rubripertincta G.,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
1015,Gordonia sputi G.,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
1016,Gordonia terrae G.,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis",
1017,Granulicatella adiacens G.,"Endocarditis, septic arthritis, endodontic infection",
1018,Granulicatella elegans G.,"Endocarditis, septic arthritis, endodontic infection",
1019,Graphium basitruncatum G.,,
1020,Great Island virus GIV,,
1021,Grimontia hollisae G.,Diarrhoea,
1022,Guanarito mammarenavirus GMV,Venezuelan hemorrhagic fever,
1023,Guanarito virus GV,Venezuelan hemorrhagic fever,"menorrhagia,  melena,  diarrhea,  pharyngitis,  chest pain,  myalgia,  nausea,  fever,  headache,  epistaxis,  facial edema,  leukopenia,  adenopathy,  hematemesis,  hemorrhage,  conjunctivitis,  convulsion,  vomiting,  anorexia,  joint pain,  gum bleeding,  cervical lymphadenopathy,  toxemia,  thrombocytopenia,  throat pain,  cough,  dehydration,  abdominal pain,  weakness, menorrhagia,"
1024,Guaroa orthobunyavirus GOV,,
1025,Gymnascella hyalinospora G.,,
1026,Gymnoascus dankaliensis G.,,
1027,H1N1 subtype H.,Influenza,"fever,  cough,  throat pain,  runny nose,  body ache,  headache,  chills,  fatigue,  diarrhea,  vomiting, fever,"
1028,H1N1 swine influenza virus SIV,Influenza,
1029,H1N2 subtype H.,Influenza,
1030,H2N2 subtype H.,,
1031,H3N2 subtype H.,Influenza,"depression,  cough,  sneezing,  loss of appetite, depression,"
1032,H3N3 subtype H.,,
1033,H3N8 subtype H.,,"pneumonia,  fever,  cough, pneumonia,"
1034,H4N5 subtype H.,,
1035,H4N6 subtype H.,Influenza,"cough,  weight loss, cough,"
1036,H4N8 subtype H.,Influenza,
1037,H5N1 subtype H.,Influenza,
1038,H5N2 subtype H.,,
1039,H5N3 subtype H.,Influenza,
1040,H5N8 subtype H.,Influenza,
1041,H5N9 subtype H.,,
1042,H6N2 subtype H.,,
1043,H6N9 subtype H.,Influenza,
1044,H7N1 subtype H.,Influenza,
1045,H7N2 subtype H.,Influenza,
1046,H7N3 subtype H.,Influenza,"malaise, malaise,"
1047,H7N4 subtype H.,Influenza,
1048,H7N5 subtype H.,Influenza,
1049,H7N7 subtype H.,,"fever,  dry hacking cough,  runny nose,  depression,  muscle soreness,  loss of appetite,   fever,  muscles ache,"
1050,H7N8 subtype H.,Influenza,
1051,H8N4 subtype H.,Influenza,
1052,H8N5 subtype H.,Influenza,
1053,H9N1 subtype H.,Influenza,
1054,H9N2 subtype H.,,"fever,  cough,  throat pain,  muscles ache,  pneumonia, fever,"
1055,H9N3 subtype H.,Influenza,
1056,H9N4 subtype H.,Influenza,
1057,H9N5 subtype H.,Influenza,
1058,H9N6 subtype H.,Influenza,
1059,H9N7 subtype H.,Influenza,
1060,H9N8 subtype H.,Influenza,
1061,H9N9 subtype H.,Influenza,
1062,Haemagogus H.,yellow fever,
1063,Haemaphysalis concinna H.,Far Eastern spotted fever;Siberian tick typhus,
1064,Haemaphysalis flava H.,Japanese spotted fever,
1065,Haemophilus aegyptius H.,Brazilian purpuric fever,
1066,Haemophilus influenzae H.,"Bacteraemia, meningitis, epiglottitis",
1067,Haemophilus parainfluenzae H.,"Sinusitis, otitis media, pneumonia, abscesses, endocarditis",
1068,Haemophilus pittmaniae H.,"Sinusitis, otitis media, pneumonia, abscesses, endocarditis",
1069,Hafnia alvei H.,Bacteraemia,
1070,Hanko virus HV,,
1071,Hantaan orthohantavirus HOV,,
1072,Hantaan virus HV,Hantavirus infection,
1073,Hantavirus HV,Hantavirus pulmonary syndrome,
1074,Hantavirus Z10 HV,,
1075,Hathewaya histolytica H.,"Wound infection, bacteraemia, abscesses",
1076,Hathewaya limosa H.,"Wound infection, bacteraemia, abscesses",
1077,Hazara virus HV,,
1078,Heartland virus HV,,
1079,Helcococcus kunzii H.,"Sebaceous cyst infection, breast abscess, wound infection",
1080,Helcococcus pyogenes H.,"Sebaceous cyst infection, breast abscess, wound infection",
1081,Helcococcus sueciensis H.,"Sebaceous cyst infection, breast abscess, wound infection",
1082,Helicobacter bilis H.,"Cholecystitis, bacteraemia",
1083,Helicobacter bizzozeronii H.,Gastritis,
1084,Helicobacter canadensis H.,Gastroenteritis,
1085,Helicobacter canis H.,Gastroenteritis,
1086,Helicobacter cinaedi H.,"Proctitis in homosexual men, septicaemia",
1087,Helicobacter felis H.,Gastritis,
1088,Helicobacter fennelliae H.,"Proctitis in homosexual men, septicaemia",
1089,Helicobacter heilmannii H.,Gastritis,
1090,Helicobacter pullorum H.,Gastroenteritis,
1091,Helicobacter pylori H.,Gastritis,
1092,Helicobacter salomonis H.,Gastritis,
1093,Helicobacter suis H.,Gastritis,
1094,Helicobacter winghamensis H.,Gastroenteritis,
1095,Hendra henipavirus HHV,,
1096,Hendra virus HV,Hendra viral infection,
1097,Henipavirus HV,Nipah virus encephalitis,
1098,Hepacivirus D HDV,,
1099,Hepacivirus L HLV,,
1100,Hepatitis A virus HAV,hepatitis A,
1101,Hepatitis B virus HBV,hepatitis B;hepatitis D,
1102,Hepatitis C virus HCV,hepatitis C,
1103,Hepatitis E virus HEV,hepatitis E,
1104,Hepatitis delta virus HDV,hepatitis D,
1105,Hepatovirus A HAV,,
1106,Herbaspirillum sp. H.,Associated with aortic aneurism,
1107,Histoplasma capsulatum H.,,
1108,HoJo virus HV,Hantavirus infection,
1109,Holdemania filiformis H.,,
1110,Hortaea werneckii H.,,
1111,Hughes orthonairovirus HOV,,
1112,Human T-lymphotropic virus 1 HTLV,adult T-cell leukemia;tropical spastic paraparesis,
1113,Human adenovirus 3 HAV,pharyngoconjunctival fever,
1114,Human adenovirus 7 HAV,pharyngoconjunctival fever,
1115,Human alphaherpesvirus 1 HAV,,
1116,Human alphaherpesvirus 2 HAV,,
1117,Human alphaherpesvirus 3 HAV,,
1118,Human associated gemykibivirus 2 HAGV,,
1119,Human associated gemykibivirus 5 HAGV,,
1120,Human associated gemyvongvirus 1 HAGV,,
1121,Human astrovirus HAV,,
1122,Human betaherpesvirus 5 HBV,,
1123,Human betaherpesvirus 7 HBV,,
1124,Human bocavirus HBV,,
1125,Human coronavirus 229E HCV,,
1126,Human coronavirus HKU1 HCV,,
1127,Human coronavirus NL63 HCV,,
1128,Human enterovirus 70 HEV,acute hemorrhagic conjunctivitis,
1129,Human fecal virus Jorvi2 HFV,,
1130,Human fecal virus Jorvi3 HFV,,
1131,Human fecal virus Jorvi4 HFV,,
1132,Human gammaherpesvirus 4 HGV,,
1133,Human gammaherpesvirus 8 HGV,,
1134,Human herpesvirus 1 HHV,herpes simplex;herpetic whitlow;genital herpes;eczema herpeticum,
1135,Human herpesvirus 2 HHV,herpes simplex;herpetic whitlow;genital herpes;eczema herpeticum,
1136,Human herpesvirus 3 HHV,herpes zoster;geniculate herpes zoster,
1137,Human herpesvirus 4 HHV,Epstein-Barr virus hepatitis;infectious mononucleosis,
1138,Human herpesvirus 6 HHV,exanthema subitum,
1139,Human herpesvirus 7 HHV,exanthema subitum,
1140,Human herpesvirus 8 HHV,Kaposi's sarcoma,
1141,Human immunodeficiency virus 1 HIV,human immunodeficiency virus infectious disease;acquired immunodeficiency syndrome,
1142,Human immunodeficiency virus 2 HIV,human immunodeficiency virus infectious disease;acquired immunodeficiency syndrome,
1143,Human mastadenovirus A HMAV,,
1144,Human mastadenovirus B HMBV,,
1145,Human mastadenovirus C HMCV,,
1146,Human mastadenovirus D HMDV,,
1147,Human metapneumovirus HMV,,
1148,Human orthopneumovirus HOV,,
1149,Human papillomavirus HPV,,
1150,Human papillomavirus types HPTV,common wart;plantar wart;focal epithelial hyperplasia,
1151,Human picobirnavirus HPV,,
1152,Human poliovirus 1 HPV,spinal polio;paralytic poliomyelitis;bulbospinal polio;poliomyelitis;postpoliomyelitis syndrome;nonparalytic poliomyelitis;bulbar polio,
1153,Human poliovirus 2 HPV,spinal polio;paralytic poliomyelitis;bulbospinal polio;poliomyelitis;postpoliomyelitis syndrome;nonparalytic poliomyelitis;bulbar polio,
1154,Human poliovirus 3 HPV,spinal polio;paralytic poliomyelitis;bulbospinal polio;poliomyelitis;postpoliomyelitis syndrome;nonparalytic poliomyelitis;bulbar polio,
1155,Human polyomavirus 1 HPV,,
1156,Human polyomavirus 2 HPV,,
1157,Human polyomavirus 3 HPV,,
1158,Human polyomavirus 4 HPV,,
1159,Human polyomavirus 5 HPV,,
1160,Human respiratory syncytial virus HRSV,respiratory syncytial virus infectious disease,
1161,Human respirovirus 1 HRV,,
1162,Human respirovirus 3 HRV,,
1163,Human rubulavirus 2 HRV,,
1164,Human rubulavirus 4 HRV,,
1165,Human smacovirus 1 HSV,,
1166,Hyalomma H.,Crimean-Congo hemorrhagic fever,
1167,Hymenochaete porioides H.,,
1168,Ignatzschineria larvae I.,Bacteraemia,
1169,Ignavigranum ruoffiae I.,"Wound infection, ear abscess",
1170,Ikoma lyssavirus ILV,,
1171,Ilheus virus IV,,
1172,Ilyonectria destructans I.,,
1173,Imjin orthohantavirus IOV,,
1174,Indian encephalitis associated cyclovirus IEACV,,
1175,Indiana vesiculovirus IVV,,
1176,Influenza A virus IAV,Influenza,
1177,Influenza B virus IBV,Influenza,
1178,Influenza C virus ICV,Influenza,"cough,  fever,  runny nose,  depression , cough,"
1179,Inkoo virus IV,undocumented,
1180,Inquilinus limosus I.,"Pulmonary infection in cystic fibrosis, endocarditis",
1181,Ippy mammarenavirus IMV,,
1182,Irkut lyssavirus ILV,,
1183,Irpex lacteus I.,,
1184,Isaria fumosorosea I.,,
1185,Isaria javanica I.,,
1186,Isfahan vesiculovirus IVV,,
1187,Ixodes I.,tick-borne encephalitis;Powassan encephalitis;aneruptive fever;Omsk hemorrhagic fever,
1188,Ixodes holocyclus I.,Queensland tick typhus,
1189,Ixodes pacificus I.,human monocytic ehrlichiosis;Lyme disease,
1190,Ixodes ricinus I.,human monocytic ehrlichiosis;louping ill,
1191,Ixodes scapularis I.,human monocytic ehrlichiosis;Lyme disease,
1192,J-virus JV,,
1193,Jamestown Canyon virus JCV,undocumented,
1194,Jamestown Canyon-like virus JCLV,,
1195,Janibacter melonis J.,Bacteraemia,
